title,description,position,full_name,first_name,last_name,gender,place
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,1,J.C.W.M. Vlemmix,Johan,Vlemmix,m,Huissen
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,2,H.A. Schampers,Erik,Schampers,m,Eindhoven
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,3,J.A.C. Verburg,Jolanda,Verburg,v,Beusichem
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,4,C.H. Fabius,Henrick,Fabius,m,'s-Gravenhage
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,5,M.M. Sparla,Monique,Sparla,v,De Kwakel
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,6,C.J.A. Hellenbrand,Chris,Hellenbrand,m,Heerlen
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,7,H.J. Roeten,Helen,Roeten,v,Amsterdam
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,8,K.A. Chaudry,Khalid Ahmed,Chaudry,m,'s-Gravenhage
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,9,D.J. Berg,David,Berg,m,Bussum
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,10,J.H.G. Altena,Han,Altena,m,Westervoort
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,11,D.M.H. Hoedemaker,Dyana,Hoedemaker,v,Eindhoven
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,12,T. Jansen,Theo,Jansen,m,Rotterdam
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,13,J. Bron,Jos,Bron,m,Amsterdam
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,14,H.R.M.P. Smit,Ron,Smit,m,Amsterdam
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,15,B. Crouwel,Ben,Crouwel,m,Lommel (BE)
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,16,E.H.O. Veenhuizen,Evert-Herman,Veenhuizen,m,Kampen
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,17,J.G.M. Schmitz-Broeren,Ans,Schmitz-Broeren,v,Best
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,18,W.G.M. Smits,Wendy,Smits,v,Eindhoven
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,19,C.H.M. van Kuijck,Carlo,van Kuijck,m,Helmond
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,20,D. de Groot,Dick,de Groot,m,Ermelo
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,21,S.M. Goslinga,Manon,Goslinga,v,Bourtange
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,22,M.J. van Leeuwen,Martin,van Leeuwen,m,Broek op Langedijk
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,23,G. Petersen,Gerda,Petersen,v,Apeldoorn
Lijst_20_-_Partij_van_de_Toekomst_(PvdT)-Kieskring 6 Nijmegen,,24,B. Martherus,Mischa,Martherus,m,Amsterdam
