title,description,position,full_name,first_name,last_name,gender,place
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,1,J.H. Oldenkamp,Johan,Oldenkamp,m,Zeist
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,2,J.H. Bijl,Hanneke,Bijl,v,Voorburg
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,3,G.J.H. Vousten,Geert,Vousten,m,Amersfoort
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,4,T.D. Wasbauer,Tabitha,Wasbauer,v,Goch-Kessel (DE)
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,5,E. Westerbeek,Elbert,Westerbeek,m,Emmen
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,6,W.M.A. Verberk,Wilma,Verberk,v,Boxmeer
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,7,P.W. Baltink,Paul,Baltink,m,Groningen
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,8,G. van Wijlen,Gaby,van Wijlen,v,Breda
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,9,J.A.A. Bruijsten,Sjaak,Bruijsten,m,Overasselt
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,10,I.M. Huberts-Donker,Ilse,Huberts-Donker,v,Meppel
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,11,S. Eshaqzai,Shahir,Eshaqzai,m,Oosterhout
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,12,Y.M. Smit,Yvonne,Smit,v,Amersfoort
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,13,M.A.M. Wasbauer,Maurice,Wasbauer,m,Goch-Kessel (DE)
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,14,B.P.J. van Kessel,Bea,van Kessel,v,Uden
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,15,C.J. van Wegen,Kees,van Wegen,m,Burgh-Haamstede
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,16,M. Höhle,Mylène,Höhle,v,Baarn
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,17,G. van der Wolf,Geert-Jan,van der Wolf,m,Zeist
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,18,G.W.P. Zaremba,Gerry,Zaremba,v,Soest
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,19,J.G.M. van der Gragt,Jan,van der Gragt,m,Medemblik
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,20,F.M. Gillot,Farida,Gillot,v,Lelystad
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,21,M. Botermans,Melvin,Botermans,m,'s-Gravenzande
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,22,H.C. Zoete,Cathalijne,Zoete,v,Deventer
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,23,J. Arents,Jeroen,Arents,m,Utrecht
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,24,E.J.M. van Rooij,Lisette,van Rooij,v,Sint-Oedenrode
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,25,H. de Wilde,Henk,de Wilde,m,IJsselmuiden
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,26,A.C.M. Muntendam,Nynke,Muntendam,v,Groningen
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,27,J.T.L. Rijkens,John,Rijkens,m,Roosendaal
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,28,M. Kattenberg-Toet,Marijke,Kattenberg-Toet,v,Westdorpe
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,29,C.J. de Zeeuw,Kees,de Zeeuw,m,Roosendaal
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,30,H.G. Smit,Helen,Smit,v,Capelle aan den IJssel
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,31,K.K. Hakkesteegt,Kaspar,Hakkesteegt,m,Utrecht
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,32,P.F.M. Schreuder,Pierre,Schreuder,m,Haarsteeg
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,33,E.G.M.H. Hermers,Lianne,Hermers,v,Boxmeer
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,34,M.R.G.W. van den Heuvel,Marjo,van den Heuvel,m,Sint-Oedenrode
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,35,A.P. van den Anker,Arthur,van den Anker,m,Breskens
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,36,S.G. Fonk,Syne,Fonk,m,'s-Heerenberg
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,37,J. Krop,Jan,Krop,m,IJzendijke
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,38,A. Teuben,Anton,Teuben,m,Soest
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,39,R.M. Brockhus,Rob,Brockhus,m,Huizen
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,40,R.J.D. Beems,Richard,Beems,m,'s-Hertogenbosch
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,41,G.A.D. Leupen,Gideon,Leupen,m,Heesch
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,42,M.F.E. Wuhl,Michael,Wuhl,m,Uden
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,43,L.A.P. Wouters,Laurens,Wouters,m,Bladel
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,44,D.G. van Tienen,Danny,van Tienen,m,Oosterhout
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,45,D. van Liempd,Dimfy,van Liempd,v,Heesch
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,46,M.G.A. Hoekman,Mayk,Hoekman,m,Heesch
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,47,A.M.L. van Rooij,Ad,van Rooij,m,Sint-Oedenrode
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,48,L.P.D. van de Plasse,Paco,van de Plasse,m,Boxmeer
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,49,H. Fitters,Henk,Fitters,m,Elshout
Lijst_19_-_SOPN-Kieskring 18 ‘s-Hertogenbosch,,50,J.W. Matthijsen,Jora,Matthijsen,v,Maurik
